|Sl No.|District|Block|Gram Panchayat|Village|Household|
161|MURSHIDABAD|Murshidabad Jiaganj|KAPASDANGA|Akbarpur (73)|364|
162|DAKSHIN DINAJPUR|Kushmundi|AKCHA|Akcha (85)|144|
163|DAKSHIN DINAJPUR|Gangarampur|SUKDEVPUR|Akchha (42)|175|
164|PURBA MEDINIPUR|Contai - I|HARIPUR|Akgerya (123)|62|
165|DAKSHIN DINAJPUR|Tapan|AJMATPUR|Akha Nagar (40)|211|
166|NORTH 24 PARAGANAS|Basirhat - I|GACHA AKARPUR|Akharpur (115)|1,447|
167|MURSHIDABAD|Bhagawangola - II|AKHERIGANJ|Akheriganja (107)|125|
168|MURSHIDABAD|Murshidabad Jiaganj|KAPASDANGA|Akherighata (68)|15|
169|BIRBHUM|Suri - II|KENDUA|Akhermath (32)|0|
170|PURBA BARDHAMAN|Raina - II|PHALANPUR|Akhina (175)|290|
171|MALDAH|Maldah (Old)|JATRA DANGA|Akhira Pukur (52)|34|
172|BANKURA|Raipur|MANDALKULI|Akhuapal (304)|84|
173|NORTH 24 PARAGANAS|Basirhat - II|CHAMPA PUKUR|Akipur (52)|1,180|
174|BIRBHUM|Mayureswar - II|KUNDALA|Akna (90)|164|
175|HOOGHLY|Chinsurah - Magra|KODALIA-II|Akna (14)|1,046|
176|HOOGHLY|Polba - Dadpur|AKNA|Akna (144)|0|
177|HOWRAH|Udaynarayanpur|SINGTI|Akna Dwitiya (38)|211|
178|SOUTH 24 PARAGANAS|Baruipur||Akna Mirzzapur (14)|530|
179|SOUTH 24 PARAGANAS|Baruipur|MALLICKPUR|Akna Mirzzapur (14)|530|
180|PASCHIM MEDINIPUR|Kharagpur - II|KALIARA-I|Akra Markandapur (469)|129|
181|SOUTH 24 PARAGANAS|Diamond Harbour - II|MATHUR|Akrapunji (36)|171|
182|HOOGHLY|Pursura|CHILLADANGI|Akri Fatepur (38)|1,219|
183|SOUTH 24 PARAGANAS|Kakdwip|SWAMI VIVEKANANDA|Akshyanagar (38)|7,540|
184|DAKSHIN DINAJPUR|Tapan|TAPANCHANDIPUR|Aktail (209)|86|
185|PASCHIM MEDINIPUR|Midnapore|DHARUA|Akuanala (23)|0|
186|PURBA MEDINIPUR|Sutahata|CHAITANYAPUR|Akubpur (73)|611|
187|BANKURA|Indus|AKUI-I|Akui (118)|1,670|
188|PURBA MEDINIPUR|Ramnagar - II|DEPAL|Akulbar (126)|88|
189|BIRBHUM|Mayureswar - II|KUNDALA|Akulpur (79)|366|
190|SOUTH 24 PARAGANAS|Bishnupur - II||Akulshe (2)|837|
191|SOUTH 24 PARAGANAS|Bishnupur - II|KHAGRAMURI|Akulshe (2)|837|
192|BIRBHUM|Nanoor|KIRNAHAR-II|Akupur (23)|191|
193|BANKURA|Bankura - II|BIKNA|Akurabad (258)|405|
194|HOOGHLY|Jangipara|DILAKASH|Akuti (31)|119|
195|PURBA MEDINIPUR|Deshopran|BAMUNIA|Aladarput (578)|335|
196|PURBA BARDHAMAN|Khandaghosh|SAGRAI|Aladipur (82)|349|
197|NADIA|Chakdah|MADANPUR-II|Alaipur (42)|4,311|
198|MURSHIDABAD|Bhagawangola - II|KHARIBONA|Alaipur (72)|325|
199|MURSHIDABAD|Farakka|IMAMNAGAR|Alaipur (19)|1,104|
200|NORTH 24 PARAGANAS|Bongaon|GOPALNAGAR-I|Alakulipur (69)|925|
201|PURBA MEDINIPUR|Panskura|GOBINDANAGAR|Alalpara (116)|136|
202|PURBA MEDINIPUR|Contai - I|BADALPUR|Alalpur (109)|444|
203|PASCHIM MEDINIPUR|Garbeta - III|URIASAI|Alam Pur (928)|112|
204|SOUTH 24 PARAGANAS|Falta|DEBIPUR|Alambibi Ramnagar (90)|502|
205|PURBA BARDHAMAN|Raina - II|ARUI|Alampur (183)|250|
206|SOUTH 24 PARAGANAS|Baruipur||Alampur (77)|148|
207|HOOGHLY|Haripal|PANTRA|Alampur (136)|251|
208|MALDAH|Bamangola|PAKUAHAT|Alampur (107)|729|
209|HOWRAH|Sankrail|MASHILA|Alampur (25)|5,523|
210|MURSHIDABAD|Suti - I|AHIRON|Alampur (105)|1,259|
211|PASCHIM MEDINIPUR|Midnapore|CHANDRA|Alampur (52)|52|
212|HOWRAH|Sankrail|JHOREHAT|Alampur (25)|5,523|
213|PASCHIM MEDINIPUR|Dantan - II|SAURI KOTEBAR|Alampur (265)|81|
214|PURBA MEDINIPUR|Contai - III|KUSUMPUR|Alampur (247)|120|
215|SOUTH 24 PARAGANAS|Baruipur|SANKARPUR-I|Alampur (77)|148|
216|SOUTH 24 PARAGANAS|Magrahat - I|RANGILABAD|Alampur (84)|601|
217|MURSHIDABAD|Nawda|RAYPUR|Alampur (5)|1,851|
218|JHARGRAM|Gopiballavpur - I|ALAMPUR|Alampur Pirasimul (192)|600|
219|MURSHIDABAD|Samserganj|CHANCHANDA|Alamsahi (80)|803|
220|MURSHIDABAD|Sagardighi|BARALA|Alankar (164)|200|
221|PURBA MEDINIPUR|Ramnagar - I|PADIMA-II|Alankarpur (97)|369|
222|HOOGHLY|Pandua|RAMESWARPUR GOPALNAGAR|Alasin (80)|102|
223|PURBA MEDINIPUR|Nanda Kumar|BYABATTARHAT PASCHIM|Alasuli (42)|501|
224|HOOGHLY|Pursura|DEHIBATPUR|Alati (14)|607|
225|SOUTH 24 PARAGANAS|Falta|HARINDANGA-II|Aldadpur (86)|463|
226|UTTAR DINAJPUR|Itahar|DURLOVPUR|Aldhanda (64)|361|
227|SOUTH 24 PARAGANAS|Mandirbazar|SOUTH BISHNUPUR|Alemaheshpur (M) (175)|108|
228|KALIMPONG|Kalimpong - II|SANTOOK|Algarah Bazer D.I.F. (23)|511|
229|NORTH 24 PARAGANAS|Barasat - I|PASCHIMKHILKAPUR|Algaria (5)|1,056|
230|UTTAR DINAJPUR|Itahar|ITAHAR|Algram (128)|346|
231|PURBA MEDINIPUR|Khejuri - II|KHEJURI|Alichak (51)|135|
232|MURSHIDABAD|Murshidabad Jiaganj|KAPASDANGA|Aliganj (67)|23|
233|PASCHIM BARDHAMAN|Barabani|PANURIA|Aliganja (11)|328|
234|DAKSHIN DINAJPUR|Bansihari|SHIBPUR|Aligara (262)|0|
235|HOOGHLY|Tarakeswar|BALIGORI-I|Aligari (33)|229|
236|BIRBHUM|Nanoor|DASKALGRAM KAREYA-I|Aligram (5)|356|
237|MALDAH|Chanchal - I|ALIHANDA|Alihanda (64)|357|
238|HOOGHLY|Chinsurah - Magra|MOGRA-II|Alikhoja (CT) (43)|340|
239|MURSHIDABAD|Beldanga - II|KAMNAGAR|Alikpur (72)|324|
240|ALIPURDUAR|Falakata|JATESWAR-I|Alinagar (30)|1,346|
241|MALDAH|Gazole|BAIRGACHHI-I|Alinagar (26)|2,208|
242|MALDAH|Kaliachak - I|ALINAGAR|Alinagar (81)|2,770|
243|DAKSHIN DINAJPUR|Tapan|GOFANAGAR|Alinagar (115)|48|
244|PURBA MEDINIPUR|Sahid Matangini|KAKHARDA|Alinan (39)|1,145|
245|SOUTH 24 PARAGANAS|Kulpi|KARANJALI|Alipara (236)|496|
246|SOUTH 24 PARAGANAS|Bishnupur - I||Alipore (103)|967|
247|SOUTH 24 PARAGANAS|Bishnupur - I|DAKSHIN GOURIPUR CHAKDIHI|Alipore (103)|967|
248|HOWRAH|Uluberia - I|KALINAGAR|Alipukur (83)|718|
249|HOWRAH|Shyampur - I|BALICHATURY|Alipur (143)|1,084|
250|HOOGHLY|Haripal|OLIPUR KASHIPUR|Alipur (7)|839|
251|PURBA MEDINIPUR|Khejuri - II|NIJKASBA|Alipur (80)|254|
252|SOUTH 24 PARAGANAS|Baruipur|DHAPDHAPI-II|Alipur (101)|713|
253|PURBA BARDHAMAN|Memari - I|DURGAPUR|Alipur (216)|1,029|
254|PASCHIM BARDHAMAN|Barabani|ITAPARA|Alipur (8)|173|
255|DAKSHIN DINAJPUR|Balurghat|CHINGISHPUR|Alipur (290)|273|
256|MALDAH|Kaliachak - I|ALINAGAR|Alipur (70)|6,804|
257|PURBA MEDINIPUR|Contai - I|RAIPUR PASCHIMBAR|Alipur (274)|50|
258|HOOGHLY|Dhaniakhali|BHASTARA|Alipur (152)|30|
259|SOUTH 24 PARAGANAS|Baruipur||Alipur (101)|713|
260|NORTH 24 PARAGANAS|Deganga|CHOWRASHI|Alipur (61)|878|
261|SOUTH 24 PARAGANAS|Jaynagar - I||Alipur (CT) (36)|1,410|
262|MALDAH|Kaliachak - I|KALIA CHAK-I|Alipur (CT) (70)|6,804|
263|SOUTH 24 PARAGANAS|Jaynagar - I|UTTAR DURGAPUR|Alipur (CT) (36)|1,410|
264|MALDAH|Kaliachak - I||Alipur (CT) (70)|6,804|
265|MALDAH|Kaliachak - I|ALIPUR-I|Alipur (CT) (70)|6,804|
266|MALDAH|Kaliachak - I|KALIA CHAK-II|Alipur (CT) (70)|6,804|
267|JALPAIGURI|||Alipurduar (M) (0)|0|
268|HOOGHLY|Balagarh|BAKULIA DHOBAPARA|Alisa Garia (29)|116|
269|PASCHIM MEDINIPUR|Debra|DEBRA-II|Alisagar (341)|570|
270|SOUTH 24 PARAGANAS|Kultali|KUNDAKHALI GODABAR|Alitakhali (126)|638|
271|BANKURA|Chhatna|JAMTORA|Aljhara (182)|540|
272|PURULIA|Neturia|BHAMURIA|Alkusha (100)|123|
273|PASCHIM BARDHAMAN|Salanpur|ALLADI|Alladi (16)|420|
274|MALDAH|Gazole|RANIGANJ-I|Almaspur (61)|607|
275|DARJEELING|Kharibari|RANIGANJ PANISALI|Alokjhari (18)|145|
276|COOCHBEHAR|Dinhata - I|PETLA|Alokjhari (28)|1,453|
277|MALDAH|Ratua - I|RATUA|Alpara (113)|717|
278|HOWRAH|Shyampur - I|SHYAMPUR|Alpin (80)|332|
279|MALDAH|Gazole|RANIGANJ-II|Altor (267)|224|
280|PURBA MEDINIPUR|Contai - III|DEBENDRA|Aluan (78)|137|
281|MURSHIDABAD|Suti - I|BANSBATI|Aluani (37)|273|
282|MURSHIDABAD|Bharatpur - I|ALUGRAM|Alugram (69)|1,200|
283|PURBA MEDINIPUR|Panskura|HAUR G.P|Alugram Barada (146)|289|
284|PASCHIM MEDINIPUR|Ghatal|MOHANPUR|Alui (83)|420|
285|NADIA|Santipur|GAYESHPUR|Aluipara (10)|288|
286|BANKURA|Saltora|PABRA|Alunia (122)|279|
287|BANKURA|Chhatna|CHINABARI|Alutia (194)|177|
288|PURBA BARDHAMAN|Ausgram - I|DIGNAGAR-II|Alutia (P) (154)|32|
289|PASCHIM MEDINIPUR|Pingla|KARKAI-IV|Amad Chak (183)|73|
290|PURBA BARDHAMAN|Memari - I|AMADPUR|Amadpur (128)|1,000|
291|PASCHIM MEDINIPUR|Midnapore|PANCHKHURI-I|Amadpur Pal (246)|144|
292|MURSHIDABAD|Murshidabad Jiaganj|BAHADURPUR|Amaipara (P) (31)|644|
293|BIRBHUM|Mohammad Bazar|ANGARGAR|Amaipur (154)|73|
294|BIRBHUM|Suri - I|KARIDHYA|Amaipur (113)|104|
295|MALDAH|Gazole|KARKACH|Amaitor (145)|224|
296|PASCHIM MEDINIPUR|Midnapore|DHARUA|Amajharna (61)|0|
297|BANKURA|Simlapal|MACHATORA|Amakunda (98)|160|
298|BANKURA|Chhatna|CHINABARI|Amakunda (190)|176|
299|BANKURA|Chhatna|JAMTORA|Amalatara (215)|134|
300|UTTAR DINAJPUR|Goalpokhar - II|SURJAPUR-II|Amalbari (99)|742|
301|PURBA MEDINIPUR|Kolaghat|AMALHANDA|Amalhara (CT) (291)|4,027|
302|UTTAR DINAJPUR|Islampur|PANDITPOTA-II|Amalijhari (93)|377|
303|NORTH 24 PARAGANAS|Gaighata|DHARAMPUR-II|Amankandia (9)|472|
304|HOOGHLY|Pandua|BERALA KONCHMALI|Amanmouri (13)|441|
305|PURBA BARDHAMAN|Burdwan - I|SARAITIKAR|Amar (13)|1,184|
306|PASCHIM MEDINIPUR|Sabang|NARAYANBARH|Amarbar (376)|71|
307|HOWRAH|Shyampur - II|AMARDAHA|Amardaha (35)|300|
308|NORTH 24 PARAGANAS|Basirhat - I|SANGRAMPUR SHIBHATI|Amarkati (106)|215|
309|JALPAIGURI|Jalpaiguri|NAGAR BERUBARI|Amarkhana (10)|152|
310|MURSHIDABAD|Nabagram|AMARKUNDA|Amarkunda (79)|771|
311|PURBA BARDHAMAN|Jamalpur|JYOTSRIRAM|Amarpur (73)|579|
312|SOUTH 24 PARAGANAS|Falta|BANGANAGAR-I|Amarpur (104)|0|
313|MURSHIDABAD|Beldanga - II|DADPUR|Amarpur (122)|1,509|
314|HOOGHLY|Polba - Dadpur|SUGANDHYA|Amarpur (176)|708|
315|MURSHIDABAD|Suti - I|HARUA|Amarpur (27)|738|
316|BANKURA|Onda|CHINGANI|Amarpur (165)|181|
317|ALIPURDUAR|Kumargram|KUMARGRAM|Amarpur (30)|708|
318|BIRBHUM|Mohammad Bazar|BHUTURA|Amarpur (113)|1|
319|PURBA MEDINIPUR|Potashpur - I|AMARSHI-I|Amarshi Kasba (CT) (134)|1,716|
320|PURBA MEDINIPUR|Contai - I|NAYAPUT|Amartalya (360)|167|
321|PURBA BARDHAMAN|Bhatar|AMARUN-I|Amarun (99)|579|
322|BIRBHUM|Mayureswar - I|MOLLARPUR-I|Amba (25)|420|
323|BANKURA|Simlapal|BIKRAMPUR|Ambakra (75)|13|
324|SOUTH 24 PARAGANAS|Diamond Harbour - I|BASULDANGA|Ambalhara (137)|487|
325|PURBA BARDHAMAN|Bhatar|BONPAS|Ambana (20)|451|
